GITTER_ID_1km;x_mp_1km;y_mp_1km;Einwohner
CRS3035RES1000mN2707000E4401000;4401500;2707500;29
CRS3035RES1000mN2707000E4402000;4402500;2707500;45
CRS3035RES1000mN2707000E4403000;4403500;2707500;14
CRS3035RES1000mN2707000E4404000;4404500;2707500;8
CRS3035RES1000mN2707000E4405000;4405500;2707500;18
CRS3035RES1000mN2707000E4407000;4407500;2707500;31
CRS3035RES1000mN2707000E4412000;4412500;2707500;31
CRS3035RES1000mN2707000E4414000;4414500;2707500;4
CRS3035RES1000mN2707000E4415000;4415500;2707500;5
CRS3035RES1000mN2707000E4416000;4416500;2707500;18
CRS3035RES1000mN2707000E4417000;4417500;2707500;5
CRS3035RES1000mN2708000E4321000;4321500;2708500;3
CRS3035RES1000mN2708000E4338000;4338500;2708500;120
CRS3035RES1000mN2708000E4339000;4339500;2708500;51
CRS3035RES1000mN2708000E4340000;4340500;2708500;263
CRS3035RES1000mN2708000E4341000;4341500;2708500;42
CRS3035RES1000mN2708000E4342000;4342500;2708500;959
CRS3035RES1000mN2708000E4350000;4350500;2708500;48
CRS3035RES1000mN2708000E4398000;4398500;2708500;4
CRS3035RES1000mN2708000E4399000;4399500;2708500;164
CRS3035RES1000mN2708000E4400000;4400500;2708500;380
CRS3035RES1000mN2708000E4401000;4401500;2708500;2577
CRS3035RES1000mN2708000E4402000;4402500;2708500;1892
CRS3035RES1000mN2708000E4403000;4403500;2708500;610
CRS3035RES1000mN2708000E4404000;4404500;2708500;2068
CRS3035RES1000mN2708000E4405000;4405500;2708500;1563
CRS3035RES1000mN2708000E4406000;4406500;2708500;190
CRS3035RES1000mN2708000E4407000;4407500;2708500;3
CRS3035RES1000mN2708000E4408000;4408500;2708500;9
CRS3035RES1000mN2708000E4409000;4409500;2708500;45
CRS3035RES1000mN2708000E4413000;4413500;2708500;8
CRS3035RES1000mN2708000E4414000;4414500;2708500;302
CRS3035RES1000mN2708000E4415000;4415500;2708500;8
CRS3035RES1000mN2708000E4416000;4416500;2708500;11
CRS3035RES1000mN2709000E4320000;4320500;2709500;4
CRS3035RES1000mN2709000E4321000;4321500;2709500;3
CRS3035RES1000mN2709000E4324000;4324500;2709500;3
CRS3035RES1000mN2709000E4335000;4335500;2709500;7
CRS3035RES1000mN2709000E4338000;4338500;2709500;257
CRS3035RES1000mN2709000E4339000;4339500;2709500;22
CRS3035RES1000mN2709000E4340000;4340500;2709500;67
CRS3035RES1000mN2709000E4341000;4341500;2709500;51
CRS3035RES1000mN2709000E4342000;4342500;2709500;136
CRS3035RES1000mN2709000E4343000;4343500;2709500;236
CRS3035RES1000mN2709000E4344000;4344500;2709500;176
CRS3035RES1000mN2709000E4345000;4345500;2709500;17
CRS3035RES1000mN2709000E4346000;4346500;2709500;63
CRS3035RES1000mN2709000E4347000;4347500;2709500;122
CRS3035RES1000mN2709000E4348000;4348500;2709500;6
CRS3035RES1000mN2709000E4349000;4349500;2709500;269
CRS3035RES1000mN2709000E4350000;4350500;2709500;281
CRS3035RES1000mN2709000E4401000;4401500;2709500;273
CRS3035RES1000mN2709000E4402000;4402500;2709500;3106
CRS3035RES1000mN2709000E4403000;4403500;2709500;3500
CRS3035RES1000mN2709000E4404000;4404500;2709500;4613
CRS3035RES1000mN2709000E4405000;4405500;2709500;971
CRS3035RES1000mN2709000E4406000;4406500;2709500;4
CRS3035RES1000mN2709000E4407000;4407500;2709500;16
CRS3035RES1000mN2709000E4408000;4408500;2709500;29
CRS3035RES1000mN2709000E4409000;4409500;2709500;124
CRS3035RES1000mN2709000E4411000;4411500;2709500;3
CRS3035RES1000mN2709000E4412000;4412500;2709500;36
CRS3035RES1000mN2709000E4415000;4415500;2709500;84
CRS3035RES1000mN2709000E4417000;4417500;2709500;10
CRS3035RES1000mN2710000E4319000;4319500;2710500;3
CRS3035RES1000mN2710000E4320000;4320500;2710500;12
CRS3035RES1000mN2710000E4321000;4321500;2710500;12
CRS3035RES1000mN2710000E4324000;4324500;2710500;4
CRS3035RES1000mN2710000E4325000;4325500;2710500;4
CRS3035RES1000mN2710000E4335000;4335500;2710500;47
CRS3035RES1000mN2710000E4337000;4337500;2710500;52
CRS3035RES1000mN2710000E4339000;4339500;2710500;130
CRS3035RES1000mN2710000E4340000;4340500;2710500;320
CRS3035RES1000mN2710000E4341000;4341500;2710500;1698
